State,Link
Alabama,Not Found
Alaska,Not Found
Arizona,Not Found
Arkansas,Not Found
California,https://oag.ca.gov/privacy/databreach/list
Colorado,Not Found
Connecticut,Not Found
Delaware,https://attorneygeneral.delaware.gov/fraud/cpu/securitybreachnotification/database/
Florida,Not Found
Georgia,Not Found
Hawaii,https://cca.hawaii.gov/ocp/notices/security-breach/
Idaho,Not Found
Illinois,Not Found
Indiana,https://www.in.gov/attorneygeneral/consumer-protection-division/id-theft-prevention/security-breaches/
Iowa,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/
Kansas,Not Found
Kentucky,Not Found
Louisiana,Not Found
Maine,https://www.maine.gov/agviewer/content/ag/985235c7-cb95-4be2-8792-a1252b4f8318/list.html
Maryland,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx
Massachusetts,https://www.mass.gov/lists/data-breach-notification-reports
Michigan,Not Found
Minnesota,Not Found
Mississippi,Not Found
Missouri,Not Found
Montana,https://dojmt.gov/office-of-consumer-protection/reported-data-breaches/
Nebraska,Not Found
Nevada,Not Found
New Hampshire,https://www.doj.nh.gov/citizens/consumer-protection-antitrust-bureau/security-breach-notifications
New Jersey,https://www.cyber.nj.gov/threat-landscape/public-data-breaches
New Mexico,Not Found
New York,Not Found
North Carolina,Not Found
North Dakota,https://attorneygeneral.nd.gov/consumer-resources/data-breach-notices
Ohio,Not Found
Oklahoma,https://oklahoma.gov/omes/divisions/information-services/cyber-command/notices/cybersecurity-breaches.html
Oregon,https://justice.oregon.gov/consumer/DataBreach/
Pennsylvania,Not Found
Rhode Island,Not Found
South Carolina,Not Found
South Dakota,Not Found
Tennessee,Not Found
Texas,https://oagtx.force.com/datasecuritybreachreport/apex/DataSecurityReportsPage
Utah,Not Found
Vermont,https://ago.vermont.gov/categories/security-breach-notices
Virginia,Not Found
Washington,http://www.atg.wa.gov/data-breach-notifications
West Virginia,Not Found
Wisconsin,https://datcp.wi.gov/Pages/Programs_Services/DataBreaches.aspx
Wyoming,Not Found
